#nodeA	nodeB	score1
C05588	C05583	NaN
C16608	C07572	NaN
C16608	C16609	NaN
C16608	C16612	NaN
C00427	C00584	NaN
C00427	C00639	NaN
C00427	C00696	NaN
C00427	C02198	NaN
C05223	C05758	NaN
C05223	C05759	NaN
C05745	C05746	NaN
C05749	C05748	NaN
C05749	C05750	NaN
C05752	C05751	NaN
C05752	C05753	NaN
C05752	C16236	NaN
C05752	C16239	NaN
C05755	C05754	NaN
C05755	C05756	NaN
C05761	C05760	NaN
C05761	C05762	NaN
C05764	C05763	NaN
C05764	C16219	NaN
C16239	C16237	NaN
C19673	C20372	NaN
C20375	C20376	NaN
C00242	C00330	NaN
C00242	C00385	NaN
C00242	C00387	NaN
C00385	C00262	NaN
C00385	C00366	NaN
C00385	C01762	NaN
C00245	C00506	NaN
C00245	C01959	NaN
C00506	C05528	NaN
C00247	C01507	NaN
C00248	C00579	NaN
C17202	C02743	NaN
C00253	C05841	NaN
C00253	C13051	NaN
C05841	C01185	NaN
C13051	C20742	NaN
C00259	C00532	NaN
C00262	C00294	NaN
C00262	C05512	NaN
C00640	C00658	NaN
C01086	C01122	NaN
C00268	C15522	NaN
C04730	C04884	NaN
C04730	C06133	NaN
C04884	C01132	NaN
C04884	C06134	NaN
C04884	C06135	NaN
C04927	C06140	NaN
C06139	C06138	NaN
C06139	C06140	NaN
C06140	C06141	NaN
C06241	C04257	NaN
C00272	C03684	NaN
C03684	C04244	NaN
C00280	C00535	NaN
C00280	C00674	NaN
C00280	C05296	NaN
C00535	C03917	NaN
C00535	C05291	NaN
C00535	C11134	NaN
C03231	C03069	NaN
C00292	C07565	NaN
C00295	C00337	NaN
C00295	C01103	NaN
C00300	C02305	d2b1b5a
C16011	C00613	NaN
C02567	C18170	NaN
C00318	C02838	NaN
C06124	C06123	NaN
C00322	C00527	NaN
C00527	C02411	NaN
C00325	C02985	NaN
C00325	C14830	NaN
C03626	C00543	NaN
C00329	C01075	NaN
C00334	C00555	NaN
C00334	C01035	NaN
C00339	C02434	NaN
C01120	C00517	NaN
C01120	C00836	NaN
C00349	C01188	NaN
C01188	C04047	NaN
C00418	C01107	NaN
C00376	C00473	NaN
C00473	C02075	NaN
C00473	C02588	NaN
C00473	C15492	NaN
C05127	C05827	NaN
C00398	C00637	NaN
C00637	C00954	NaN
C00399	C17562	NaN
C00401	C00634	NaN
C00401	C00635	NaN
C00401	C01490	NaN
C01490	C15558	NaN
C00407	C00671	NaN
C00407	C03127	NaN
C03127	C01644	NaN
C00410	C03681	NaN
C00412	C00510	NaN
C00412	C01530	NaN
C00412	C16218	NaN
C00510	C00712	NaN
C16218	C16217	NaN
C00490	C00531	NaN
C00419	C03463	NaN
C00419	C03475	NaN
C00584	C00639	NaN
C00429	C02642	NaN
C00931	C01024	NaN
C00751	C01054	NaN
C20120	C04506	NaN
C20120	C20119	NaN
C00468	C00951	NaN
C00468	C05298	NaN
C00468	C05300	NaN
C00468	C11133	NaN
C00951	C05141	NaN
C00951	C05301	NaN
C00951	C05503	NaN
C05298	C05299	NaN
C05300	C05141	NaN
C00483	C03765	NaN
C03765	C00642	NaN
C00487	C02571	NaN
C05528	C11537	NaN
C00519	C01678	NaN
C00523	C11135	NaN
C00543	C07572	NaN
C07572	C16607	NaN
C07572	C16612	NaN
C00546	C00937	NaN
C00546	C01888	NaN
C00546	C05999	NaN
C05999	C00583	NaN
C00547	C05577	NaN
C00547	C05589	NaN
C05577	C05576	NaN
C05577	C05580	NaN
C05589	C05583	NaN
C00585	C01167	NaN
